symbol,time_bucket,price_mean,price_std,price_min,price_max,qty_sum,qty_mean,quote_qty_sum,quote_qty_mean,quote_qty_std,profitable_sum,profitable_count,hour_first,day_of_week_first,minute_of_day_first,target
ATOMUSDT,2025-10-21 13:20:00,3.22,0.0,3.22,3.22,25.1188,12.5594,80.882536,40.441268,0.0,2,2,13,1,802,0
ATOMUSDT,2025-10-21 13:25:00,3.218387096774194,0.005226071943342401,3.21,3.23,412.081158,13.292940580645162,1326.02799652,42.775096661935486,15.177633383371589,31,31,13,1,806,0
ATOMUSDT,2025-10-21 13:30:00,3.22,0.0,3.22,3.22,69.203948,13.840789599999999,222.83671256000002,44.567342512,2.996163240903104,5,5,13,1,810,1
ATOMUSDT,2025-10-21 13:40:00,3.2310000000000003,0.005676462121975632,3.22,3.24,134.367346,13.4367346,434.18652625,43.418652625,12.816424029299922,10,10,13,1,820,1
ATOMUSDT,2025-10-21 13:45:00,3.21875,0.004999999999999896,3.21,3.23,184.129688,11.5081055,592.6111731,37.03819831875,16.4646414849399,16,16,13,1,825,0
ATOMUSDT,2025-10-21 14:45:00,3.2836363636363632,0.006579516949597784,3.27,3.29,300.262535,13.648297045454546,985.99069467,44.817758848636366,9.265177524501388,22,22,14,1,886,1
ATOMUSDT,2025-10-21 14:50:00,3.2973913043478262,0.0044897775854487116,3.29,3.3,294.395558,12.799806869565217,970.65739673,42.20249551,9.803003850959485,23,23,14,1,890,0
ATOMUSDT,2025-10-21 14:55:00,3.3135897435897435,0.010127393670836525,3.29,3.33,501.33081500000003,12.854636282051283,1660.85603251,42.586052115641024,12.953963389153483,39,39,14,1,895,0
ATOMUSDT,2025-10-21 15:00:00,3.321276595744681,0.006120891266657554,3.31,3.33,571.134708,12.151802297872342,1896.77227917,40.35685700361702,15.448813424923292,47,47,15,1,900,0
ATOMUSDT,2025-10-21 15:05:00,3.3328571428571427,0.006112498455021215,3.32,3.34,170.872644,12.205188857142858,569.55111529,40.682222520714284,14.937644161766702,14,14,15,1,906,0
ATOMUSDT,2025-10-21 15:10:00,3.337142857142857,0.0048795003647426095,3.33,3.34,89.703982,12.81485457142857,299.35525797,42.76503685285714,13.628075226250736,7,7,15,1,910,0
ATOMUSDT,2025-10-21 15:15:00,3.3344444444444443,0.005270462766947263,3.33,3.34,115.365796,12.818421777777779,384.6337413,42.73708236666667,11.791037605044533,9,9,15,1,915,0
ATOMUSDT,2025-10-21 15:20:00,3.3535714285714286,0.006333236937766562,3.34,3.36,183.383739,13.0988385,615.09169087,43.93512077642857,9.748064034274392,14,14,15,1,920,1
ATOMUSDT,2025-10-21 15:25:00,3.3533333333333335,0.004923659639173239,3.35,3.36,158.487033,13.20725275,531.52600284,44.293833570000004,13.460628807384445,12,12,15,1,925,1
ATOMUSDT,2025-10-21 15:30:00,3.3505000000000003,0.007591546545162431,3.34,3.36,229.079814,11.4539907,767.32875059,38.366437529500004,15.58833465157181,20,20,15,1,930,0
ATOMUSDT,2025-10-21 15:35:00,3.339090909090909,0.00700649049745372,3.33,3.35,145.91676,13.265160000000002,487.21567723,44.292334293636365,12.733124699781392,11,11,15,1,936,1
ATOMUSDT,2025-10-21 15:40:00,3.348,0.004140393356054219,3.34,3.35,203.085272,13.539018133333334,679.92347174,45.32823144933333,10.173323407392973,15,15,15,1,940,1
ATOMUSDT,2025-10-21 15:45:00,3.36,0.0,3.36,3.36,28.969524,14.484762,97.33760064,48.66880032,0.0,2,2,15,1,945,1
ATOMUSDT,2025-10-21 15:50:00,3.3425,0.0070710678118654025,3.33,3.35,89.51677,11.18959625,299.19399566,37.3992494575,17.598371017826576,8,8,15,1,951,0
ATOMUSDT,2025-10-21 15:55:00,3.335,0.007071067811865324,3.33,3.34,29.91325,14.956625,99.76068875,49.880344375,0.1057593096116471,2,2,15,1,955,1
ATOMUSDT,2025-10-21 16:00:00,3.3475,0.005000000000000153,3.34,3.35,57.038343999999995,14.259585999999999,190.92937667,47.7323441675,2.4642908199554916,4,4,16,1,962,1
ATOMUSDT,2025-10-21 16:05:00,3.344,0.00547722557505169,3.34,3.35,59.683724,11.9367448,199.49616239,39.899232478,21.665441391079344,5,5,16,1,965,0
ATOMUSDT,2025-10-21 16:10:00,3.3528571428571428,0.006112498455021109,3.34,3.36,195.251876,13.946562571428572,654.65900673,46.76135762357143,4.097445108325649,14,14,16,1,970,1
ATOMUSDT,2025-10-21 16:15:00,3.3547368421052632,0.005129891760425692,3.35,3.36,201.821944,10.622207578947368,676.89923151,35.62627534263158,17.538596641031326,19,19,16,1,975,0
ATOMUSDT,2025-10-21 16:20:00,3.3561538461538465,0.005063696835418239,3.35,3.36,170.22207600000002,13.094005846153847,571.2279094099999,43.94060841615384,11.921810102730738,13,13,16,1,980,1
ATOMUSDT,2025-10-21 16:25:00,3.358333333333333,0.0040824829046385794,3.35,3.36,83.04513399999999,13.840855666666664,278.88306183,46.480510304999996,3.2015013771400134,6,6,16,1,986,1
ATOMUSDT,2025-10-21 16:30:00,3.365,0.005477225575051834,3.36,3.37,59.355987999999996,9.892664666666667,199.64015654,33.27335942333333,18.99172966583804,6,6,16,1,992,0
ATOMUSDT,2025-10-21 16:35:00,3.3449999999999998,0.007071067811865481,3.34,3.35,29.7885,14.89425,99.6425325,49.82126625,0.10531825175688016,2,2,16,1,995,1
ATOMUSDT,2025-10-21 16:40:00,3.3475,0.005000000000000153,3.34,3.35,55.589102,13.8972755,186.07437151,46.5185928775,3.8827083007685443,4,4,16,1,1002,1
ATOMUSDT,2025-10-21 16:45:00,3.3466666666666662,0.005163977794943393,3.34,3.35,89.39219800000001,14.898699666666667,299.16575613,49.860959355,0.07458814453676207,6,6,16,1,1006,1
ATOMUSDT,2025-10-21 16:50:00,3.34125,0.006408699444616557,3.33,3.35,83.664314,10.45803925,279.58144255999997,34.947680319999996,17.856444994326168,8,8,16,1,1012,0
ATOMUSDT,2025-10-21 16:55:00,3.3222727272727273,0.009725674505592946,3.31,3.34,288.44633,13.111196818181817,958.040996,43.547318,12.803327111646233,22,22,16,1,1015,1
ATOMUSDT,2025-10-21 17:55:00,3.307058823529412,0.00469668218313872,3.3,3.31,219.572002,12.916000117647059,726.05936793,42.70937458411765,14.533287757613579,17,17,17,1,1077,0
ATOMUSDT,2025-10-21 18:00:00,3.3160714285714286,0.00497347461393425,3.31,3.32,356.162365,12.720084464285716,1180.91543394,42.17555121214286,15.01900575572417,28,28,18,1,1080,0
ATOMUSDT,2025-10-21 18:05:00,3.308333333333333,0.005144957554275136,3.3,3.32,234.27500600000002,13.015278111111112,775.04013534,43.057785296666665,12.903372476710746,18,18,18,1,1085,1
ATOMUSDT,2025-10-21 18:10:00,3.2996666666666665,0.008502873077655442,3.29,3.32,396.793503,13.2264501,1309.07411069,43.635803689666666,12.535399507213475,30,30,18,1,1090,1
ATOMUSDT,2025-10-21 18:15:00,3.297647058823529,0.00437237316097592,3.29,3.3,228.67935599999998,13.45172682352941,754.04182653,44.355401560588234,11.784550531717072,17,17,18,1,1095,1
ATOMUSDT,2025-10-21 18:20:00,3.2986363636363634,0.007101612523427504,3.29,3.31,302.130666,13.733212090909092,996.60822905,45.300374047727274,10.995651631834072,22,22,18,1,1100,1
ATOMUSDT,2025-10-21 18:25:00,3.3033333333333332,0.00723746864455735,3.29,3.31,169.38348,11.292232,559.40908292,37.29393886133333,16.020264643585946,15,15,18,1,1105,0
ATOMUSDT,2025-10-21 18:30:00,3.2973913043478262,0.004489777585448713,3.29,3.3,283.917635,12.344245,936.08335743,40.699276409999996,14.125279248438755,23,23,18,1,1110,0
ATOMUSDT,2025-10-21 18:35:00,3.2973913043478262,0.004489777585448702,3.29,3.3,294.837855,12.819037173913044,972.07675977,42.26420694652174,13.30281159411898,23,23,18,1,1115,0
ATOMUSDT,2025-10-21 18:40:00,3.296551724137931,0.004837252813149579,3.29,3.3,385.126669,13.280229965517242,1269.63095095,43.78037761896552,10.481197210423447,29,29,18,1,1120,1
ATOMUSDT,2025-10-21 18:45:00,3.296666666666667,0.00481543412343069,3.29,3.3,313.903646,13.079318583333333,1034.86547692,43.119394871666664,10.715382265785205,24,24,18,1,1125,1
ATOMUSDT,2025-10-21 18:50:00,3.2975,0.0044721359549995034,3.29,3.3,207.103729,12.9439830625,682.8595218,42.6787201125,10.847309498110238,16,16,18,1,1130,0
ATOMUSDT,2025-10-21 18:55:00,3.3024999999999998,0.006215815605080665,3.29,3.31,177.611962,14.800996833333334,586.55390536,48.879492113333335,2.357023603083951,12,12,18,1,1135,1
ATOMUSDT,2025-10-21 19:00:00,3.2981249999999998,0.005439056290693495,3.29,3.31,191.054857,11.9409285625,630.06395965,39.378997478125,16.80385733665517,16,16,19,1,1140,0
ATOMUSDT,2025-10-21 19:05:00,3.3,0.007559289460184522,3.29,3.31,196.429425,13.095295,648.09141371,43.20609424733333,16.029444587271932,15,15,19,1,1145,1
ATOMUSDT,2025-10-21 19:10:00,3.2991666666666664,0.005149286505444461,3.29,3.31,151.130468,12.594205666666667,498.61092342,41.550910285,16.682711783051506,12,12,19,1,1150,0
ATOMUSDT,2025-10-21 19:15:00,3.3070833333333334,0.004643056214875508,3.3,3.31,305.549382,12.731224249999999,1010.50337885,42.10430745208333,14.533882729223928,24,24,19,1,1155,0
ATOMUSDT,2025-10-21 19:20:00,3.2977777777777777,0.0069798244045212844,3.29,3.31,321.378729,11.90291588888889,1059.98784371,39.2588090262963,16.21869801403115,27,27,19,1,1160,0
ATOMUSDT,2025-10-21 19:25:00,3.2952380952380955,0.006796357567879533,3.28,3.3,245.639803,11.697133476190476,809.30034011,38.538111433809526,16.44049974799825,21,21,19,1,1165,0
ATOMUSDT,2025-10-21 19:30:00,3.2971428571428567,0.004688072309384791,3.29,3.3,202.163761,14.440268642857143,666.53531325,47.60966523214285,4.698360363712107,14,14,19,1,1170,1
ATOMUSDT,2025-10-21 19:35:00,3.305789473684211,0.005072572735018003,3.3,3.31,241.623425,12.717022368421052,798.65242769,42.03433829947368,14.961038296487656,19,19,19,1,1175,0
ATOMUSDT,2025-10-21 19:40:00,3.298461538461538,0.006126863923612305,3.29,3.31,319.140315,12.2746275,1052.49759719,40.480676815,15.09767615714309,26,26,19,1,1180,0
ATOMUSDT,2025-10-21 19:45:00,3.3036363636363633,0.005810872031479741,3.29,3.31,299.83181,13.628718636363637,990.50133075,45.02278776136364,12.689864456410227,22,22,19,1,1185,1
ATOMUSDT,2025-10-21 19:50:00,3.307,0.004701623459816417,3.3,3.31,266.641847,13.33209235,881.69875383,44.0849376915,14.276330082042275,20,20,19,1,1190,1
ATOMUSDT,2025-10-21 19:55:00,3.297647058823529,0.004372373160975824,3.29,3.3,215.944101,12.702594176470587,712.04962185,41.88527187352941,9.43495842632997,17,17,19,1,1195,0
ATOMUSDT,2025-10-21 20:00:00,3.2974074074074076,0.004465760847047151,3.29,3.3,380.018978,14.074776962962963,1253.03471818,46.408693265925926,8.059822442829239,27,27,20,1,1200,1
ATOMUSDT,2025-10-21 20:05:00,3.2930769230769235,0.006793662204867765,3.28,3.3,355.32048299999997,13.666172423076922,1169.91838345,44.99686090192308,11.801798578128205,26,26,20,1,1205,1
ATOMUSDT,2025-10-21 20:10:00,3.2841176470588236,0.005072996561959075,3.28,3.29,218.065256,12.827368,715.98895757,42.11699750411765,13.313601716142275,17,17,20,1,1210,0
ATOMUSDT,2025-10-21 20:15:00,3.286363636363636,0.005045249791095163,3.28,3.29,135.035612,12.275964727272726,443.74122088,40.34011098909091,11.024099461185454,11,11,20,1,1215,0
ATOMUSDT,2025-10-21 21:15:00,3.2758333333333334,0.005149286505444254,3.27,3.28,148.751176,12.395931333333332,487.31221268,40.60935105666667,16.7390936313746,12,12,21,1,1276,0
ATOMUSDT,2025-10-21 21:20:00,3.262857142857143,0.009511897312113228,3.25,3.28,91.68749,13.098212857142856,299.08623744,42.726605348571425,14.61524416370609,7,7,21,1,1280,0
ATOMUSDT,2025-10-21 22:20:00,3.2562068965517237,0.0049380397379123015,3.25,3.26,362.295522,12.49294903448276,1179.5443259200001,40.67394227310345,15.242337238377502,29,29,22,1,1342,0
ATOMUSDT,2025-10-21 22:25:00,3.252,0.0067736513743455315,3.24,3.26,437.64765,12.504218571428572,1423.08229117,40.65949403342857,16.294662863957885,35,35,22,1,1345,0
ATOMUSDT,2025-10-21 22:30:00,3.2433333333333336,0.005940885257860075,3.23,3.25,244.379144,13.57661911111111,792.65604198,44.03644677666667,9.10959445315896,18,18,22,1,1350,1
ATOMUSDT,2025-10-21 22:35:00,3.2247222222222223,0.007362496126066874,3.21,3.24,480.643424,13.351206222222222,1549.7623314500001,43.04895365138889,12.088745029404613,36,36,22,1,1355,1
ATOMUSDT,2025-10-21 23:35:00,3.19,,3.19,3.19,15.66416,15.66416,49.9686704,49.9686704,,1,1,23,1,1419,1
ATOMUSDT,2025-10-21 23:40:00,3.185416666666667,0.005089773777040297,3.18,3.19,337.564412,14.065183833333334,1075.19392556,44.79974689833333,8.92399416719886,24,24,23,1,1420,1
ATOMUSDT,2025-10-21 23:45:00,3.186666666666667,0.005773502691896167,3.18,3.19,31.28911,10.429703333333334,99.68022366,33.22674122,22.385011344659677,3,3,23,1,1426,0
ATOMUSDT,2025-10-22 00:45:00,3.1750000000000003,0.006504436355879958,3.16,3.18,179.953418,12.853815571428571,571.19892868,40.799923477142855,15.294550352217394,14,14,0,2,46,0
ATOMUSDT,2025-10-22 00:50:00,3.171111111111111,0.004714045207910403,3.16,3.18,249.137876,13.84099311111111,790.10258392,43.894587995555554,14.895580070736175,18,18,0,2,50,1
ATOMUSDT,2025-10-22 00:55:00,3.173333333333334,0.004803844614152674,3.17,3.18,367.099844,13.596290518518519,1164.88623874,43.14393476814815,11.971844247280336,27,27,0,2,55,1
ATOMUSDT,2025-10-22 01:00:00,3.1771875,0.004568034093991811,3.17,3.18,429.029592,13.40717475,1362.94522356,42.59203823625,13.314942121252122,32,32,1,2,60,0
ATOMUSDT,2025-10-22 01:05:00,3.1863636363636365,0.008222751143238618,3.17,3.2,434.489442,13.166346727272726,1384.24125419,41.94670467242425,12.413017506470542,33,33,1,2,65,0
ATOMUSDT,2025-10-22 01:10:00,3.1970833333333335,0.0045933964318511395,3.19,3.2,650.442948,13.55089475,2079.39921402,43.320816958749994,12.040066555124008,48,48,1,2,71,1
ATOMUSDT,2025-10-22 01:15:00,3.1851282051282053,0.007904627183124338,3.17,3.2,489.329552,12.546911589743589,1558.71925538,39.96716039435898,14.992938840589376,39,39,1,2,75,0
ATOMUSDT,2025-10-22 01:20:00,3.1805555555555554,0.006391374907061523,3.17,3.19,241.7424,13.430133333333334,768.95923569,42.71995753833333,12.898410744251185,18,18,1,2,81,0
ATOMUSDT,2025-10-22 01:25:00,3.1834615384615383,0.0056159114610597255,3.17,3.19,394.083322,15.157050846153847,1254.54004667,48.25154025653846,3.6218167234921634,26,26,1,2,85,1
ATOMUSDT,2025-10-22 01:30:00,3.1754285714285713,0.0061082668875670505,3.16,3.18,493.181113,14.090888942857143,1565.8452603599999,44.73843601028571,10.519205389989814,35,35,1,2,90,1
