Entry Time,Exit Time,Symbol,Entry Side,Status,Entry Price,Exit Price,Entry Qty,P&L USD,P&L %,Total Fee,Hold Duration (sec),Exit Reason,Strategy Tag
2025-10-20T15:25:13.973352,2025-10-20T15:25:15.652187,ALGOUSDT,BUY,CLOSED,0.18900000,0.18910000,264.55026455,0.0265,0.05,,1.68,TP,mm_entry
2025-10-20T15:25:10.718285,2025-10-20T15:25:11.951349,ALGOUSDT,BUY,CLOSED,0.18900000,0.18910000,264.55026455,0.0265,0.05,,1.23,TP,mm_entry
2025-10-20T15:25:07.277902,2025-10-20T15:25:08.275807,ALGOUSDT,BUY,CLOSED,0.18890000,0.18910000,264.69031233,0.0529,0.11,,1.00,TP,mm_entry
2025-10-20T15:25:03.194392,2025-10-20T15:25:04.272194,ALGOUSDT,BUY,CLOSED,0.18900000,0.18910000,264.55026455,0.0265,0.05,,1.08,TP,mm_entry
2025-10-20T15:24:56.942653,2025-10-20T15:24:58.665359,ALGOUSDT,BUY,CLOSED,0.18890000,0.18900000,264.69031233,0.0265,0.05,,1.72,TP,mm_entry
2025-10-20T15:24:41.856459,2025-10-20T15:24:43.263064,ALGOUSDT,BUY,CLOSED,0.18890000,0.18900000,264.69031233,0.0265,0.05,,1.41,TP,mm_entry
2025-10-20T15:24:36.775964,2025-10-20T15:24:38.257841,ALGOUSDT,BUY,CLOSED,0.18890000,0.18900000,264.69031233,0.0265,0.05,,1.48,TP,mm_entry
2025-10-20T15:24:30.152443,2025-10-20T15:24:34.304368,ALGOUSDT,BUY,CLOSED,0.18900000,0.18910000,264.55026455,0.0265,0.05,,4.15,TP,mm_entry
2025-10-20T15:24:26.061849,2025-10-20T15:24:27.656988,ALGOUSDT,BUY,CLOSED,0.18900000,0.18910000,264.55026455,0.0265,0.05,,1.60,TP,mm_entry
2025-10-20T15:24:22.503628,2025-10-20T15:24:23.717966,ALGOUSDT,BUY,CLOSED,0.18900000,0.18910000,264.55026455,0.0265,0.05,,1.21,TP,mm_entry
2025-10-20T15:12:44.607901,2025-10-20T15:12:46.021225,ALGOUSDT,BUY,CLOSED,0.18830000,0.18840000,265.53372278,0.0266,0.05,,1.41,TP,mm_entry
2025-10-20T15:12:41.364391,2025-10-20T15:12:42.706816,ALGOUSDT,BUY,CLOSED,0.18830000,0.18840000,265.53372278,0.0266,0.05,,1.34,TP,mm_entry
2025-10-20T15:12:37.522089,2025-10-20T15:12:39.057817,ALGOUSDT,BUY,CLOSED,0.18830000,0.18840000,265.53372278,0.0266,0.05,,1.54,TP,mm_entry
2025-10-20T15:12:33.897282,2025-10-20T15:12:34.968692,ALGOUSDT,BUY,CLOSED,0.18820000,0.18830000,265.67481403,0.0266,0.05,,1.07,TP,mm_entry
2025-10-20T15:12:30.238217,2025-10-20T15:12:31.296049,ALGOUSDT,BUY,CLOSED,0.18820000,0.18830000,265.67481403,0.0266,0.05,,1.06,TP,mm_entry
2025-10-20T15:12:21.278498,2025-10-20T15:12:22.511035,ALGOUSDT,BUY,CLOSED,0.18820000,0.18830000,265.67481403,0.0266,0.05,,1.23,TP,mm_entry
2025-10-20T15:11:35.383323,2025-10-20T15:11:36.948153,ALGOUSDT,BUY,CLOSED,0.18820000,0.18840000,265.67481403,0.0531,0.11,,1.56,TP,mm_entry
2025-10-20T15:11:31.710794,2025-10-20T15:11:33.202994,ALGOUSDT,BUY,CLOSED,0.18830000,0.18840000,265.53372278,0.0266,0.05,,1.49,TP,mm_entry
2025-10-20T15:11:26.469293,2025-10-20T15:11:28.925404,ALGOUSDT,BUY,CLOSED,0.18830000,0.18840000,265.53372278,0.0266,0.05,,2.46,TP,mm_entry
2025-10-20T15:06:03.116943,2025-10-20T15:06:04.504143,ALGOUSDT,BUY,CLOSED,0.18830000,0.18840000,265.53372278,0.0266,0.05,,1.39,TP,mm_entry
2025-10-20T15:05:59.493752,2025-10-20T15:06:00.843126,ALGOUSDT,BUY,CLOSED,0.18840000,0.18850000,265.39278132,0.0265,0.05,,1.35,TP,mm_entry
2025-10-20T15:05:49.905646,2025-10-20T15:05:51.190295,ALGOUSDT,BUY,CLOSED,0.18820000,0.18830000,265.67481403,0.0266,0.05,,1.28,TP,mm_entry
2025-10-20T15:05:46.118172,2025-10-20T15:05:47.481862,ALGOUSDT,BUY,CLOSED,0.18820000,0.18830000,265.67481403,0.0266,0.05,,1.36,TP,mm_entry
2025-10-20T15:05:42.629591,2025-10-20T15:05:43.811731,ALGOUSDT,BUY,CLOSED,0.18810000,0.18820000,265.81605529,0.0266,0.05,,1.18,TP,mm_entry
2025-10-20T14:58:46.024269,2025-10-20T14:58:47.487918,ALGOUSDT,BUY,CLOSED,0.18850000,0.18860000,265.25198939,0.0265,0.05,,1.46,TP,mm_entry
2025-10-20T14:58:42.114941,2025-10-20T14:58:43.190866,ALGOUSDT,BUY,CLOSED,0.18850000,0.18860000,265.25198939,0.0265,0.05,,1.08,TP,mm_entry
2025-10-20T14:58:08.794435,2025-10-20T14:58:10.164254,ALGOUSDT,BUY,CLOSED,0.18850000,0.18860000,265.25198939,0.0265,0.05,,1.37,TP,mm_entry
2025-10-20T14:58:05.399519,2025-10-20T14:58:06.546371,ALGOUSDT,BUY,CLOSED,0.18850000,0.18860000,265.25198939,0.0265,0.05,,1.15,TP,mm_entry
2025-10-20T14:57:59.371715,2025-10-20T14:58:00.533539,ALGOUSDT,BUY,CLOSED,0.18850000,0.18860000,265.25198939,0.0265,0.05,,1.16,TP,mm_entry
2025-10-20T14:57:55.311420,2025-10-20T14:57:56.809653,ALGOUSDT,BUY,CLOSED,0.18850000,0.18860000,265.25198939,0.0265,0.05,,1.50,TP,mm_entry
2025-10-20T14:57:51.458376,2025-10-20T14:57:53.115092,ALGOUSDT,BUY,CLOSED,0.18850000,0.18860000,265.25198939,0.0265,0.05,,1.66,TP,mm_entry
2025-10-20T14:57:47.823071,2025-10-20T14:57:49.260368,ALGOUSDT,BUY,CLOSED,0.18850000,0.18860000,265.25198939,0.0265,0.05,,1.44,TP,mm_entry
2025-10-20T14:57:44.444650,2025-10-20T14:57:45.696719,ALGOUSDT,BUY,CLOSED,0.18850000,0.18860000,265.25198939,0.0265,0.05,,1.25,TP,mm_entry
2025-10-20T14:57:41.309102,2025-10-20T14:57:42.501330,ALGOUSDT,BUY,CLOSED,0.18850000,0.18860000,265.25198939,0.0265,0.05,,1.19,TP,mm_entry
2025-10-20T14:57:38.390324,2025-10-20T14:57:39.317312,ALGOUSDT,BUY,CLOSED,0.18850000,0.18860000,265.25198939,0.0265,0.05,,0.93,TP,mm_entry
2025-10-20T14:57:35.356809,2025-10-20T14:57:36.491476,ALGOUSDT,BUY,CLOSED,0.18850000,0.18860000,265.25198939,0.0265,0.05,,1.13,TP,mm_entry
2025-10-20T14:57:32.218875,2025-10-20T14:57:33.404577,ALGOUSDT,BUY,CLOSED,0.18850000,0.18860000,265.25198939,0.0265,0.05,,1.19,TP,mm_entry
2025-10-20T14:57:00.758273,2025-10-20T14:57:01.734794,ALGOUSDT,BUY,CLOSED,0.18860000,0.18870000,265.11134677,0.0265,0.05,,0.98,TP,mm_entry
2025-10-20T14:56:56.968749,2025-10-20T14:56:58.388272,ALGOUSDT,BUY,CLOSED,0.18860000,0.18880000,265.11134677,0.0530,0.11,,1.42,TP,mm_entry
2025-10-20T14:56:53.941336,2025-10-20T14:56:55.024268,ALGOUSDT,BUY,CLOSED,0.18860000,0.18880000,265.11134677,0.0530,0.11,,1.08,TP,mm_entry
2025-10-20T14:56:50.390955,2025-10-20T14:56:51.638210,ALGOUSDT,BUY,CLOSED,0.18860000,0.18880000,265.11134677,0.0530,0.11,,1.25,TP,mm_entry
2025-10-20T14:56:46.903165,2025-10-20T14:56:48.069184,ALGOUSDT,BUY,CLOSED,0.18860000,0.18880000,265.11134677,0.0530,0.11,,1.17,TP,mm_entry
2025-10-20T14:56:43.302771,2025-10-20T14:56:44.516628,ALGOUSDT,BUY,CLOSED,0.18860000,0.18870000,265.11134677,0.0265,0.05,,1.21,TP,mm_entry
2025-10-20T14:56:25.792601,2025-10-20T14:56:40.547653,ALGOUSDT,BUY,CLOSED,0.18880000,0.18860000,264.83050847,-0.0530,-0.11,,14.76,SL,mm_entry
2025-10-20T14:56:21.900690,2025-10-20T14:56:23.278981,ALGOUSDT,BUY,CLOSED,0.18870000,0.18890000,264.97085321,0.0530,0.11,,1.38,TP,mm_entry
2025-10-20T14:56:17.756799,2025-10-20T14:56:19.490412,ALGOUSDT,BUY,CLOSED,0.18870000,0.18890000,264.97085321,0.0530,0.11,,1.73,TP,mm_entry
2025-10-20T14:56:14.185413,2025-10-20T14:56:15.313114,ALGOUSDT,BUY,CLOSED,0.18870000,0.18890000,264.97085321,0.0530,0.11,,1.13,TP,mm_entry
2025-10-20T14:46:24.939284,2025-10-20T14:46:26.171203,ALGOUSDT,BUY,CLOSED,0.18850000,0.18860000,265.25198939,0.0265,0.05,,1.23,TP,mm_entry
2025-10-20T14:46:21.531156,2025-10-20T14:46:22.654617,ALGOUSDT,BUY,CLOSED,0.18850000,0.18860000,265.25198939,0.0265,0.05,,1.12,TP,mm_entry
2025-10-20T14:46:18.455119,2025-10-20T14:46:19.378281,ALGOUSDT,BUY,CLOSED,0.18850000,0.18860000,265.25198939,0.0265,0.05,,0.92,TP,mm_entry
2025-10-20T14:38:32.792763,2025-10-20T14:38:33.841119,ALGOUSDT,BUY,CLOSED,0.18810000,0.18820000,265.81605529,0.0266,0.05,,1.05,TP,mm_entry
2025-10-20T14:38:29.197737,2025-10-20T14:38:30.625528,ALGOUSDT,BUY,CLOSED,0.18810000,0.18820000,265.81605529,0.0266,0.05,,1.43,TP,mm_entry
2025-10-20T14:38:25.145197,2025-10-20T14:38:26.308030,ALGOUSDT,BUY,CLOSED,0.18810000,0.18830000,265.81605529,0.0532,0.11,,1.16,TP,mm_entry
