Entry Time,Exit Time,Symbol,Entry Side,Status,Entry Price,Exit Price,Entry Qty,P&L USD,P&L %,Total Fee,Hold Duration (sec),Exit Reason,Strategy Tag
2025-10-20T15:25:28.344116,2025-10-20T15:25:29.360773,LINKUSDT,BUY,CLOSED,19.08000000,19.09000000,2.62054507,0.0262,0.05,,1.02,TP,mm_entry
2025-10-20T15:25:25.049320,2025-10-20T15:25:26.104964,LINKUSDT,BUY,CLOSED,19.10000000,19.11000000,2.61780105,0.0262,0.05,,1.06,TP,mm_entry
2025-10-20T15:25:21.453728,2025-10-20T15:25:22.707812,LINKUSDT,BUY,CLOSED,19.10000000,19.11000000,2.61780105,0.0262,0.05,,1.25,TP,mm_entry
2025-10-20T15:25:17.814745,2025-10-20T15:25:19.125878,LINKUSDT,BUY,CLOSED,19.10000000,19.11000000,2.61780105,0.0262,0.05,,1.31,TP,mm_entry
2025-10-20T15:25:17.176001,2025-10-20T15:25:27.994764,ICPUSDT,BUY,CLOSED,3.17400000,3.17200000,15.75299307,-0.0315,-0.06,,10.82,SL,mm_entry
2025-10-20T15:25:14.308641,2025-10-20T15:25:15.862120,LINKUSDT,BUY,CLOSED,19.10000000,19.11000000,2.61780105,0.0262,0.05,,1.55,TP,mm_entry
2025-10-20T15:25:13.973352,2025-10-20T15:25:15.652187,ALGOUSDT,BUY,CLOSED,0.18900000,0.18910000,264.55026455,0.0265,0.05,,1.68,TP,mm_entry
2025-10-20T15:25:10.925067,2025-10-20T15:25:12.285892,LINKUSDT,BUY,CLOSED,19.09000000,19.10000000,2.61917234,0.0262,0.05,,1.36,TP,mm_entry
2025-10-20T15:25:10.718285,2025-10-20T15:25:11.951349,ALGOUSDT,BUY,CLOSED,0.18900000,0.18910000,264.55026455,0.0265,0.05,,1.23,TP,mm_entry
2025-10-20T15:25:07.277902,2025-10-20T15:25:08.275807,ALGOUSDT,BUY,CLOSED,0.18890000,0.18910000,264.69031233,0.0529,0.11,,1.00,TP,mm_entry
2025-10-20T15:25:07.033820,2025-10-20T15:25:08.736910,LINKUSDT,BUY,CLOSED,19.09000000,19.10000000,2.61917234,0.0262,0.05,,1.70,TP,mm_entry
2025-10-20T15:25:04.733388,2025-10-20T15:25:14.515901,ICPUSDT,BUY,CLOSED,3.17300000,3.17500000,15.75795777,0.0315,0.06,,9.78,TP,mm_entry
2025-10-20T15:25:03.194392,2025-10-20T15:25:04.272194,ALGOUSDT,BUY,CLOSED,0.18900000,0.18910000,264.55026455,0.0265,0.05,,1.08,TP,mm_entry
2025-10-20T15:25:02.987406,2025-10-20T15:25:04.496331,LINKUSDT,BUY,CLOSED,19.09000000,19.10000000,2.61917234,0.0262,0.05,,1.51,TP,mm_entry
2025-10-20T15:25:00.856193,2025-10-20T15:25:01.968691,VETUSDT,BUY,CLOSED,0.01802000,0.01803000,2774.69478357,0.0277,0.06,,1.11,TP,mm_entry
2025-10-20T15:24:58.872240,2025-10-20T15:25:02.302036,ICPUSDT,BUY,CLOSED,3.17200000,3.17400000,15.76292560,0.0315,0.06,,3.43,TP,mm_entry
2025-10-20T15:24:58.458662,2025-10-20T15:25:00.271507,ATOMUSDT,BUY,CLOSED,3.29400000,3.29600000,15.17911354,0.0304,0.06,,1.81,TP,mm_entry
2025-10-20T15:24:57.148890,2025-10-20T15:24:58.123558,VETUSDT,BUY,CLOSED,0.01802000,0.01803000,2774.69478357,0.0277,0.06,,0.97,TP,mm_entry
2025-10-20T15:24:56.942653,2025-10-20T15:24:58.665359,ALGOUSDT,BUY,CLOSED,0.18890000,0.18900000,264.69031233,0.0265,0.05,,1.72,TP,mm_entry
2025-10-20T15:24:52.808522,2025-10-20T15:24:56.248365,ICPUSDT,BUY,CLOSED,3.17100000,3.17300000,15.76789656,0.0315,0.06,,3.44,TP,mm_entry
2025-10-20T15:24:46.795324,2025-10-20T15:24:56.033584,ATOMUSDT,BUY,CLOSED,3.29400000,3.29600000,15.17911354,0.0304,0.06,,9.24,TP,mm_entry
2025-10-20T15:24:46.586674,2025-10-20T15:24:50.632006,ICPUSDT,BUY,CLOSED,3.17300000,3.17100000,15.75795777,-0.0315,-0.06,,4.05,SL,mm_entry
2025-10-20T15:24:41.856459,2025-10-20T15:24:43.263064,ALGOUSDT,BUY,CLOSED,0.18890000,0.18900000,264.69031233,0.0265,0.05,,1.41,TP,mm_entry
2025-10-20T15:24:40.754661,2025-10-20T15:24:42.188813,LINKUSDT,BUY,CLOSED,19.09000000,19.10000000,2.61917234,0.0262,0.05,,1.43,TP,mm_entry
2025-10-20T15:24:39.521719,2025-10-20T15:24:40.547531,VETUSDT,BUY,CLOSED,0.01802000,0.01803000,2774.69478357,0.0277,0.06,,1.03,TP,mm_entry
2025-10-20T15:24:37.317515,2025-10-20T15:24:38.591982,LINKUSDT,BUY,CLOSED,19.09000000,19.10000000,2.61917234,0.0262,0.05,,1.27,TP,mm_entry
2025-10-20T15:24:36.775964,2025-10-20T15:24:38.257841,ALGOUSDT,BUY,CLOSED,0.18890000,0.18900000,264.69031233,0.0265,0.05,,1.48,TP,mm_entry
2025-10-20T15:24:35.936355,2025-10-20T15:24:37.109676,VETUSDT,BUY,CLOSED,0.01802000,0.01803000,2774.69478357,0.0277,0.06,,1.17,TP,mm_entry
2025-10-20T15:24:35.723414,2025-10-20T15:24:44.614236,ICPUSDT,BUY,CLOSED,3.17500000,3.17300000,15.74803150,-0.0315,-0.06,,8.89,SL,mm_entry
2025-10-20T15:24:33.969306,2025-10-20T15:24:35.149290,LINKUSDT,BUY,CLOSED,19.10000000,19.11000000,2.61780105,0.0262,0.05,,1.18,TP,mm_entry
2025-10-20T15:24:30.152443,2025-10-20T15:24:34.304368,ALGOUSDT,BUY,CLOSED,0.18900000,0.18910000,264.55026455,0.0265,0.05,,4.15,TP,mm_entry
2025-10-20T15:24:27.859020,2025-10-20T15:24:29.214917,LINKUSDT,BUY,CLOSED,19.10000000,19.11000000,2.61780105,0.0262,0.05,,1.36,TP,mm_entry
2025-10-20T15:24:27.441572,2025-10-20T15:24:44.403442,ATOMUSDT,BUY,CLOSED,3.29600000,3.29400000,15.16990291,-0.0303,-0.06,,16.96,SL,mm_entry
2025-10-20T15:24:26.586021,2025-10-20T15:24:51.639980,TRXUSDT,BUY,CLOSED,0.32280000,0.32290000,154.89467162,0.0155,0.03,,25.05,TIMEOUT,mm_entry
2025-10-20T15:24:26.061849,2025-10-20T15:24:27.656988,ALGOUSDT,BUY,CLOSED,0.18900000,0.18910000,264.55026455,0.0265,0.05,,1.60,TP,mm_entry
2025-10-20T15:24:23.925886,2025-10-20T15:24:25.121080,LINKUSDT,BUY,CLOSED,19.10000000,19.11000000,2.61780105,0.0262,0.05,,1.20,TP,mm_entry
2025-10-20T15:24:22.503628,2025-10-20T15:24:23.717966,ALGOUSDT,BUY,CLOSED,0.18900000,0.18910000,264.55026455,0.0265,0.05,,1.21,TP,mm_entry
2025-10-20T15:14:57.356198,2025-10-20T15:15:22.412782,TRXUSDT,BUY,CLOSED,0.32280000,0.32290000,154.89467162,0.0155,0.03,,25.06,TIMEOUT,mm_entry
2025-10-20T15:14:31.635737,2025-10-20T15:14:56.703194,ATOMUSDT,BUY,CLOSED,3.28400000,3.28500000,15.22533496,0.0152,0.03,,25.07,TIMEOUT,mm_entry
2025-10-20T15:14:29.937418,2025-10-20T15:14:54.977747,TRXUSDT,BUY,CLOSED,0.32280000,0.32290000,154.89467162,0.0155,0.03,,25.04,TIMEOUT,mm_entry
2025-10-20T15:14:04.177962,2025-10-20T15:14:29.284898,ATOMUSDT,BUY,CLOSED,3.28400000,3.28500000,15.22533496,0.0152,0.03,,25.11,TIMEOUT,mm_entry
2025-10-20T15:14:02.583897,2025-10-20T15:14:27.634999,TRXUSDT,BUY,CLOSED,0.32280000,0.32290000,154.89467162,0.0155,0.03,,25.05,TIMEOUT,mm_entry
2025-10-20T15:14:00.474705,2025-10-20T15:14:01.813087,ATOMUSDT,BUY,CLOSED,3.28400000,3.28600000,15.22533496,0.0305,0.06,,1.34,TP,mm_entry
2025-10-20T15:13:56.951615,2025-10-20T15:13:58.223065,ATOMUSDT,BUY,CLOSED,3.28400000,3.28600000,15.22533496,0.0305,0.06,,1.27,TP,mm_entry
2025-10-20T15:13:45.639990,2025-10-20T15:14:00.156525,TRXUSDT,BUY,CLOSED,0.32270000,0.32290000,154.94267121,0.0310,0.06,,14.52,TP,mm_entry
2025-10-20T15:13:33.972088,2025-10-20T15:13:54.695926,ATOMUSDT,BUY,CLOSED,3.28400000,3.28600000,15.22533496,0.0305,0.06,,20.72,TP,mm_entry
2025-10-20T15:13:16.839067,2025-10-20T15:13:41.931517,TRXUSDT,BUY,CLOSED,0.32270000,0.32280000,154.94267121,0.0155,0.03,,25.09,TIMEOUT,mm_entry
2025-10-20T15:13:13.231367,2025-10-20T15:13:22.974902,ICPUSDT,BUY,CLOSED,3.16900000,3.16700000,15.77784790,-0.0316,-0.06,,9.74,SL,mm_entry
2025-10-20T15:13:06.624868,2025-10-20T15:13:31.701620,ATOMUSDT,BUY,CLOSED,3.28400000,3.28500000,15.22533496,0.0152,0.03,,25.08,TIMEOUT,mm_entry
2025-10-20T15:13:04.888612,2025-10-20T15:13:11.031689,ICPUSDT,BUY,CLOSED,3.16800000,3.17000000,15.78282828,0.0316,0.06,,6.14,TP,mm_entry
2025-10-20T15:13:00.119611,2025-10-20T15:13:02.253201,VETUSDT,BUY,CLOSED,0.01799000,0.01800000,2779.32184547,0.0278,0.06,,2.13,TP,mm_entry
2025-10-20T15:12:56.711490,2025-10-20T15:12:58.307010,LINKUSDT,BUY,CLOSED,19.04000000,19.05000000,2.62605042,0.0263,0.05,,1.60,TP,mm_entry
2025-10-20T15:12:56.504792,2025-10-20T15:12:57.958743,VETUSDT,BUY,CLOSED,0.01799000,0.01800000,2779.32184547,0.0278,0.06,,1.45,TP,mm_entry
2025-10-20T15:12:52.882871,2025-10-20T15:12:54.548505,VETUSDT,BUY,CLOSED,0.01799000,0.01801000,2779.32184547,0.0556,0.11,,1.67,TP,mm_entry
2025-10-20T15:12:52.677134,2025-10-20T15:12:54.341046,LINKUSDT,BUY,CLOSED,19.04000000,19.05000000,2.62605042,0.0263,0.05,,1.66,TP,mm_entry
2025-10-20T15:12:49.786946,2025-10-20T15:13:02.603326,ICPUSDT,BUY,CLOSED,3.16600000,3.16900000,15.79279848,0.0474,0.09,,12.82,TP,mm_entry
2025-10-20T15:12:49.578832,2025-10-20T15:13:14.665772,TRXUSDT,BUY,CLOSED,0.32270000,0.32280000,154.94267121,0.0155,0.03,,25.09,TIMEOUT,mm_entry
2025-10-20T15:12:48.878943,2025-10-20T15:12:50.469681,LINKUSDT,BUY,CLOSED,19.04000000,19.05000000,2.62605042,0.0263,0.05,,1.59,TP,mm_entry
2025-10-20T15:12:48.672134,2025-10-20T15:12:50.676216,VETUSDT,BUY,CLOSED,0.01799000,0.01800000,2779.32184547,0.0278,0.06,,2.00,TP,mm_entry
2025-10-20T15:12:45.274237,2025-10-20T15:12:46.355386,VETUSDT,BUY,CLOSED,0.01799000,0.01800000,2779.32184547,0.0278,0.06,,1.08,TP,mm_entry
2025-10-20T15:12:45.052295,2025-10-20T15:12:46.705536,LINKUSDT,BUY,CLOSED,19.04000000,19.05000000,2.62605042,0.0263,0.05,,1.65,TP,mm_entry
